method,weight_label,w1,w2,w3,mean_scalar_reward,std_scalar_reward,mean_r1,std_r1,mean_r2,std_r2,mean_r3,std_r3,mean_total_handovers,std_total_handovers,policy_episode,eval_seed_count,training_episodes,checkpoint_kind
MODQN,1.0/1.0/1.0,1.0,1.0,1.0,-0.4190000000013242,0.009695359713847659,174.61869176864622,0.5547623678954213,-0.41900000000000004,0.009695359714832668,-174.61869176864755,0.5547623678941013,83.8,1.9390719429665315,99,5,200,best-weighted-reward-on-eval
MODQN,1.0/0.0/0.0,1.0,0.0,0.0,174.61869176864622,0.5547623678954213,174.61869176864622,0.5547623678954213,-0.41900000000000004,0.009695359714832668,-174.61869176864755,0.5547623678941013,83.8,1.9390719429665315,99,5,200,best-weighted-reward-on-eval
MODQN,0.0/1.0/0.0,0.0,1.0,0.0,-0.41900000000000004,0.009695359714832668,174.61869176864622,0.5547623678954213,-0.41900000000000004,0.009695359714832668,-174.61869176864755,0.5547623678941013,83.8,1.9390719429665315,99,5,200,best-weighted-reward-on-eval
MODQN,0.0/0.0/1.0,0.0,0.0,1.0,-174.61869176864755,0.5547623678941013,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,99,5,200,best-weighted-reward-on-eval
MODQN,0.5/0.3/0.2,0.5,0.3,0.2,52.259907530593615,0.16417491819589783,174.61869176864622,0.5547623678954213,-0.41900000000000004,0.009695359714832668,-174.61869176864755,0.5547623678941013,83.8,1.9390719429665315,99,5,200,best-weighted-reward-on-eval
MODQN,0.5/0.2/0.3,0.5,0.2,0.3,34.83993835372885,0.10944994546414731,174.61869176864622,0.5547623678954213,-0.41900000000000004,0.009695359714832668,-174.61869176864755,0.5547623678941013,83.8,1.9390719429665315,99,5,200,best-weighted-reward-on-eval
MODQN,0.3/0.5/0.2,0.3,0.5,0.2,17.252369176864356,0.05179248796141535,174.61869176864622,0.5547623678954213,-0.41900000000000004,0.009695359714832668,-174.61869176864755,0.5547623678941013,83.8,1.9390719429665315,99,5,200,best-weighted-reward-on-eval
MODQN,0.2/0.5/0.3,0.2,0.5,0.3,-17.67136917686502,0.05932759802491828,174.61869176864622,0.5547623678954213,-0.41900000000000004,0.009695359714832668,-174.61869176864755,0.5547623678941013,83.8,1.9390719429665315,99,5,200,best-weighted-reward-on-eval
MODQN,0.4/0.4/0.2,0.4,0.4,0.2,34.75613835372898,0.10796133442476821,174.61869176864622,0.5547623678954213,-0.41900000000000004,0.009695359714832668,-174.61869176864755,0.5547623678941013,83.8,1.9390719429665315,99,5,200,best-weighted-reward-on-eval
MODQN,0.4/0.2/0.4,0.4,0.2,0.4,-0.08380000000052804,0.0019390719425727125,174.61869176864622,0.5547623678954213,-0.41900000000000004,0.009695359714832668,-174.61869176864755,0.5547623678941013,83.8,1.9390719429665315,99,5,200,best-weighted-reward-on-eval
MODQN,0.2/0.4/0.4,0.2,0.4,0.4,-35.09133835372978,0.11399707476858507,174.61869176864622,0.5547623678954213,-0.41900000000000004,0.009695359714832668,-174.61869176864755,0.5547623678941013,83.8,1.9390719429665315,99,5,200,best-weighted-reward-on-eval
DQN_throughput,1.0/1.0/1.0,1.0,1.0,1.0,-0.4220000000013272,0.010770329614297742,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,1.0/0.0/0.0,1.0,0.0,0.0,174.61869176864622,0.5547623678954213,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,0.0/1.0/0.0,0.0,1.0,0.0,-0.422,0.010770329614269,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,0.0/0.0/1.0,0.0,0.0,1.0,-174.61869176864755,0.5547623678941013,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,0.5/0.2/0.3,0.5,0.2,0.3,34.83933835372885,0.11078204597534069,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,0.3/0.5/0.2,0.3,0.5,0.2,17.25086917686436,0.05525916887454872,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,0.2/0.5/0.3,0.2,0.5,0.3,-17.67286917686502,0.0562107636662114,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,0.4/0.4/0.2,0.4,0.4,0.2,34.75493835372898,0.11065329650548768,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,0.4/0.2/0.4,0.4,0.2,0.4,-0.0844000000005309,0.002154065922864087,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_throughput,0.2/0.4/0.4,0.2,0.4,0.4,-35.09253835372978,0.11141755139583934,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_scalar,1.0/1.0/1.0,1.0,1.0,1.0,-0.4190000000013242,0.009695359713847659,174.61869176864622,0.5547623678954213,-0.41900000000000004,0.009695359714832668,-174.61869176864755,0.5547623678941013,83.8,1.9390719429665315,99,5,200,best-weighted-reward-on-eval
DQN_scalar,1.0/0.0/0.0,1.0,0.0,0.0,174.61869176864622,0.5547623678954213,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,200,best-weighted-reward-on-eval
DQN_scalar,0.0/1.0/0.0,0.0,1.0,0.0,-0.417,0.011661903789690611,174.61869176864622,0.5547623678954213,-0.417,0.011661903789690611,-174.61869176864755,0.5547623678941013,83.4,2.33238075793812,199,5,200,best-weighted-reward-on-eval
DQN_scalar,0.0/0.0/1.0,0.0,0.0,1.0,-174.61869176864755,0.5547623678941013,174.61869176864622,0.5547623678954213,-0.43100000000000005,0.01743559577416269,-174.61869176864755,0.5547623678941013,86.2,3.4871191548325386,49,5,200,best-weighted-reward-on-eval
DQN_scalar,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,149,5,200,best-weighted-reward-on-eval
DQN_scalar,0.5/0.2/0.3,0.5,0.2,0.3,34.83933835372885,0.11078204597534069,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,149,5,200,best-weighted-reward-on-eval
DQN_scalar,0.3/0.5/0.2,0.3,0.5,0.2,17.25336917686436,0.0565717523591094,174.61869176864622,0.5547623678954213,-0.417,0.011661903789690611,-174.61869176864755,0.5547623678941013,83.4,2.33238075793812,99,5,200,best-weighted-reward-on-eval
DQN_scalar,0.2/0.5/0.3,0.2,0.5,0.3,-17.67286917686502,0.0562107636662114,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,149,5,200,best-weighted-reward-on-eval
DQN_scalar,0.4/0.4/0.2,0.4,0.4,0.2,34.75493835372898,0.11065329650548768,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,149,5,200,best-weighted-reward-on-eval
DQN_scalar,0.4/0.2/0.4,0.4,0.2,0.4,-0.0844000000005309,0.002154065922864087,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,149,5,200,best-weighted-reward-on-eval
DQN_scalar,0.2/0.4/0.4,0.2,0.4,0.4,-35.09253835372978,0.11141755139583934,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,149,5,200,best-weighted-reward-on-eval
RSS_max,1.0/1.0/1.0,1.0,1.0,1.0,-0.46200000000133057,0.006782329984006659,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,-1,5,0,not-applicable
RSS_max,1.0/0.0/0.0,1.0,0.0,0.0,174.61869176864622,0.5547623678954213,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,-1,5,0,not-applicable
RSS_max,0.0/1.0/0.0,0.0,1.0,0.0,-0.462,0.006782329983125253,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,-1,5,0,not-applicable
RSS_max,0.0/0.0/1.0,0.0,0.0,1.0,-174.61869176864755,0.5547623678941013,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,-1,5,0,not-applicable
RSS_max,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,-1,5,0,not-applicable
RSS_max,0.5/0.2/0.3,0.5,0.2,0.3,34.83133835372885,0.11100975055368072,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,-1,5,0,not-applicable
RSS_max,0.3/0.5/0.2,0.3,0.5,0.2,17.23086917686436,0.055701925497161214,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,-1,5,0,not-applicable
RSS_max,0.2/0.5/0.3,0.2,0.5,0.3,-17.69286917686502,0.0554573817679498,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,-1,5,0,not-applicable
RSS_max,0.4/0.4/0.2,0.4,0.4,0.2,34.73893835372898,0.11108356333205746,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,-1,5,0,not-applicable
RSS_max,0.4/0.2/0.4,0.4,0.2,0.4,-0.09240000000052931,0.0013564659969785083,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,-1,5,0,not-applicable
RSS_max,0.2/0.4/0.4,0.2,0.4,0.4,-35.10853835372977,0.11088762214075773,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,-1,5,0,not-applicable
